Process	GSsize	Group
TOOKER_GEMCITABINE_RESISTANCE_UP	80	C2
TOOKER_GEMCITABINE_RESISTANCE_DN	123	C2
BOHN_PRIMARY_IMMUNODEFICIENCY_SYNDROM_UP	46	C2
BOHN_PRIMARY_IMMUNODEFICIENCY_SYNDROM_DN	38	C2
FLOTHO_PEDIATRIC_ALL_THERAPY_RESPONSE_UP	52	C2
FLOTHO_PEDIATRIC_ALL_THERAPY_RESPONSE_DN	31	C2
VILIMAS_NOTCH1_TARGETS_UP	51	C2
VILIMAS_NOTCH1_TARGETS_DN	27	C2
SPIRA_SMOKERS_LUNG_CANCER_UP	39	C2
SPIRA_SMOKERS_LUNG_CANCER_DN	15	C2
LUDWICZEK_TREATING_IRON_OVERLOAD	7	C2
JU_AGING_TERC_TARGETS_UP	7	C2
ZAIDI_OSTEOBLAST_TRANSCRIPTION_FACTORS	14	C2
WAGNER_APO2_SENSITIVITY	26	C2
PALOMERO_GSI_SENSITIVITY_UP	7	C2
PALOMERO_GSI_SENSITIVITY_DN	5	C2
SOUCEK_MYC_TARGETS	12	C2
SEKI_INFLAMMATORY_RESPONSE_LPS_UP	78	C2
SEKI_INFLAMMATORY_RESPONSE_LPS_DN	22	C2
RAY_ALZHEIMERS_DISEASE	13	C2
HUNSBERGER_EXERCISE_REGULATED_GENES	31	C2
PIONTEK_PKD1_TARGETS_UP	38	C2
PIONTEK_PKD1_TARGETS_DN	16	C2
CHAUHAN_RESPONSE_TO_METHOXYESTRADIOL_UP	50	C2
CHAUHAN_RESPONSE_TO_METHOXYESTRADIOL_DN	106	C2
FRASOR_RESPONSE_TO_SERM_OR_FULVESTRANT_UP	23	C2
FRASOR_RESPONSE_TO_SERM_OR_FULVESTRANT_DN	49	C2
GOLDRATH_ANTIGEN_RESPONSE	360	C2
ICHIBA_GRAFT_VERSUS_HOST_DISEASE_D7_UP	117	C2
ICHIBA_GRAFT_VERSUS_HOST_DISEASE_D7_DN	45	C2
ICHIBA_GRAFT_VERSUS_HOST_DISEASE_35D_UP	143	C2
ICHIBA_GRAFT_VERSUS_HOST_DISEASE_35D_DN	54	C2
LINDSTEDT_DENDRITIC_CELL_MATURATION_A	61	C2
LINDSTEDT_DENDRITIC_CELL_MATURATION_B	49	C2
LINDSTEDT_DENDRITIC_CELL_MATURATION_C	63	C2
LINDSTEDT_DENDRITIC_CELL_MATURATION_D	63	C2
MARSHALL_VIRAL_INFECTION_RESPONSE_UP	10	C2
MARSHALL_VIRAL_INFECTION_RESPONSE_DN	30	C2
MARTINELLI_IMMATURE_NEUTROPHIL_UP	11	C2
MARTINELLI_IMMATURE_NEUTROPHIL_DN	13	C2
NICK_RESPONSE_TO_PROC_TREATMENT_DN	27	C2
NUTT_GBM_VS_AO_GLIOMA_UP	46	C2
NUTT_GBM_VS_AO_GLIOMA_DN	46	C2
PARK_APL_PATHOGENESIS_UP	14	C2
PARK_APL_PATHOGENESIS_DN	48	C2
PARK_TRETINOIN_RESPONSE	12	C2
PARK_TRETINOIN_RESPONSE_AND_PML_RARA_FUSION	30	C2
PARK_TRETINOIN_RESPONSE_AND_RARA_PLZF_FUSION	23	C2
ZHANG_INTERFERON_RESPONSE	24	C2
WU_ALZHEIMER_DISEASE_UP	14	C2
WU_ALZHEIMER_DISEASE_DN	19	C2
MIZUKAMI_HYPOXIA_UP	12	C2
MIZUKAMI_HYPOXIA_DN	6	C2
YOSHIMURA_MAPK8_TARGETS_UP	1219	C2
YOSHIMURA_MAPK8_TARGETS_DN	359	C2
WUNDER_INFLAMMATORY_RESPONSE_AND_CHOLESTEROL_UP	66	C2
WUNDER_INFLAMMATORY_RESPONSE_AND_CHOLESTEROL_DN	12	C2
RAY_TARGETS_OF_P210_BCR_ABL_FUSION_UP	16	C2
RAY_TARGETS_OF_P210_BCR_ABL_FUSION_DN	15	C2
RUIZ_TNC_TARGETS_UP	156	C2
RUIZ_TNC_TARGETS_DN	143	C2
RUTELLA_RESPONSE_TO_CSF2RB_AND_IL4_UP	341	C2
RUTELLA_RESPONSE_TO_CSF2RB_AND_IL4_DN	321	C2
RUTELLA_RESPONSE_TO_HGF_UP	422	C2
RUTELLA_RESPONSE_TO_HGF_DN	240	C2
RUTELLA_RESPONSE_TO_HGF_VS_CSF2RB_AND_IL4_UP	412	C2
RUTELLA_RESPONSE_TO_HGF_VS_CSF2RB_AND_IL4_DN	250	C2
SCHRAETS_MLL_TARGETS_UP	33	C2
SCHRAETS_MLL_TARGETS_DN	34	C2
MUELLER_COMMON_TARGETS_OF_AML_FUSIONS_UP	14	C2
MUELLER_COMMON_TARGETS_OF_AML_FUSIONS_DN	34	C2
ROSS_LEUKEMIA_WITH_MLL_FUSIONS	80	C2
VANASSE_BCL2_TARGETS_UP	29	C2
VANASSE_BCL2_TARGETS_DN	59	C2
VANTVEER_BREAST_CANCER_ESR1_UP	147	C2
VANTVEER_BREAST_CANCER_ESR1_DN	224	C2
VANTVEER_BREAST_CANCER_BRCA1_UP	34	C2
VANTVEER_BREAST_CANCER_BRCA1_DN	39	C2
WALLACE_JAK2_TARGETS_UP	24	C2
AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_UP	301	C2
AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN	237	C2
SWEET_LUNG_CANCER_KRAS_UP	480	C2
SWEET_LUNG_CANCER_KRAS_DN	422	C2
SWEET_KRAS_ONCOGENIC_SIGNATURE	89	C2
HINATA_NFKB_TARGETS_KERATINOCYTE_UP	84	C2
HINATA_NFKB_TARGETS_KERATINOCYTE_DN	23	C2
HINATA_NFKB_TARGETS_FIBROBLAST_UP	81	C2
HOFFMANN_PRE_BI_TO_LARGE_PRE_BII_LYMPHOCYTE_UP	29	C2
HOFFMANN_PRE_BI_TO_LARGE_PRE_BII_LYMPHOCYTE_DN	76	C2
HOFFMANN_LARGE_TO_SMALL_PRE_BII_LYMPHOCYTE_UP	152	C2
HOFFMANN_LARGE_TO_SMALL_PRE_BII_LYMPHOCYTE_DN	65	C2
HOFFMANN_SMALL_PRE_BII_TO_IMMATURE_B_LYMPHOCYTE_UP	66	C2
HOFFMANN_SMALL_PRE_BII_TO_IMMATURE_B_LYMPHOCYTE_DN	38	C2
HOFFMANN_IMMATURE_TO_MATURE_B_LYMPHOCYTE_UP	41	C2
HOFFMANN_IMMATURE_TO_MATURE_B_LYMPHOCYTE_DN	48	C2
HOFMANN_MYELODYSPLASTIC_SYNDROM_LOW_RISK_UP	21	C2
HOFMANN_MYELODYSPLASTIC_SYNDROM_LOW_RISK_DN	29	C2
HOFMANN_MYELODYSPLASTIC_SYNDROM_HIGH_RISK_UP	10	C2
HOFMANN_MYELODYSPLASTIC_SYNDROM_HIGH_RISK_DN	20	C2
HOFMANN_MYELODYSPLASTIC_SYNDROM_RISK_UP	23	C2
HOFMANN_MYELODYSPLASTIC_SYNDROM_RISK_DN	23	C2
LEE_EARLY_T_LYMPHOCYTE_UP	109	C2
LEE_EARLY_T_LYMPHOCYTE_DN	58	C2
LEE_INTRATHYMIC_T_PROGENITOR	20	C2
LEE_DOUBLE_POLAR_THYMOCYTE	28	C2
LEE_SP4_THYMOCYTE	15	C2
LEE_RECENT_THYMIC_EMIGRANT	234	C2
LEE_NAIVE_T_LYMPHOCYTE	20	C2
LEE_DIFFERENTIATING_T_LYMPHOCYTE	200	C2
LI_WILMS_TUMOR	27	C2
FINAK_BREAST_CANCER_SDPP_SIGNATURE	26	C2
SHEDDEN_LUNG_CANCER_POOR_SURVIVAL_A6	460	C2
SHEDDEN_LUNG_CANCER_GOOD_SURVIVAL_A4	197	C2
BRUNEAU_SEPTATION_ATRIAL	5	C2
SHEDDEN_LUNG_CANCER_GOOD_SURVIVAL_A5	69	C2
BRUNEAU_SEPTATION_VENTRICULAR	10	C2
BRUNEAU_HEART_GREAT_VESSELS_AND_VALVULOGENESIS	8	C2
MELLMAN_TUT1_TARGETS_UP	20	C2
MELLMAN_TUT1_TARGETS_DN	47	C2
HAN_SATB1_TARGETS_UP	425	C2
HAN_SATB1_TARGETS_DN	388	C2
SHEDDEN_LUNG_CANCER_GOOD_SURVIVAL_A12	320	C2
COLINA_TARGETS_OF_4EBP1_AND_4EBP2	359	C2
CHEN_METABOLIC_SYNDROM_NETWORK	1242	C2
MCMURRAY_TP53_HRAS_COOPERATION_RESPONSE_UP	27	C2
MCMURRAY_TP53_HRAS_COOPERATION_RESPONSE_DN	67	C2
MIKKELSEN_PLURIPOTENT_STATE_UP	11	C2
MIKKELSEN_PLURIPOTENT_STATE_DN	8	C2
MIKKELSEN_DEDIFFERENTIATED_STATE_UP	8	C2
MIKKELSEN_DEDIFFERENTIATED_STATE_DN	7	C2
MIKKELSEN_PARTIALLY_REPROGRAMMED_TO_PLURIPOTENCY	10	C2
ELLWOOD_MYC_TARGETS_UP	14	C2
ELLWOOD_MYC_TARGETS_DN	42	C2
SHAFFER_IRF4_MULTIPLE_MYELOMA_PROGRAM	36	C2
SHAFFER_IRF4_TARGETS_IN_MYELOMA_VS_MATURE_B_LYMPHOCYTE	101	C2
SHAFFER_IRF4_TARGETS_IN_PLASMA_CELL_VS_MATURE_B_LYMPHOCYTE	67	C2
SHAFFER_IRF4_TARGETS_IN_ACTIVATED_B_LYMPHOCYTE	81	C2
SHAFFER_IRF4_TARGETS_IN_ACTIVATED_DENDRITIC_CELL	65	C2
HSIAO_HOUSEKEEPING_GENES	398	C2
MEISSNER_ES_ICP_WITH_H3K4ME3	32	C2
MEISSNER_ES_ICP_WITH_H3K4ME3_AND_H3K27ME3	14	C2
MEISSNER_NPC_HCP_WITH_H3K27ME3	79	C2
MEISSNER_NPC_ICP_WITH_H3K4ME3	19	C2
MEISSNER_NPC_HCP_WITH_H3K4ME3_AND_H3K27ME3	143	C2
MEISSNER_NPC_HCP_WITH_H3_UNMETHYLATED	542	C2
MEISSNER_NPC_ICP_WITH_H3_UNMETHYLATED	21	C2
MEISSNER_BRAIN_HCP_WITH_H3K27ME3	271	C2
MEISSNER_BRAIN_ICP_WITH_H3K4ME3	31	C2
MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3	1071	C2
MEISSNER_BRAIN_HCP_WITH_H3_UNMETHYLATED	40	C2
TAVAZOIE_METASTASIS	108	C2
WENDT_COHESIN_TARGETS_UP	32	C2
FERRANDO_HOX11_NEIGHBORS	23	C2
CHEOK_RESPONSE_TO_MERCAPTOPURINE_AND_HD_MTX_UP	5	C2
CHEOK_RESPONSE_TO_MERCAPTOPURINE_AND_HD_MTX_DN	25	C2
ZHAN_EARLY_DIFFERENTIATION_GENES_UP	7	C2
ZHAN_EARLY_DIFFERENTIATION_GENES_DN	42	C2
MILI_PSEUDOPODIA	50	C2
MILI_PSEUDOPODIA_CHEMOTAXIS_UP	86	C2
MILI_PSEUDOPODIA_CHEMOTAXIS_DN	435	C2
MILI_PSEUDOPODIA_HAPTOTAXIS_UP	522	C2
MILI_PSEUDOPODIA_HAPTOTAXIS_DN	675	C2
LIU_VAV3_PROSTATE_CARCINOGENESIS_UP	89	C2
LIU_VAV3_PROSTATE_CARCINOGENESIS_DN	17	C2
CROONQUIST_IL6_DEPRIVATION_UP	17	C2
CROONQUIST_IL6_DEPRIVATION_DN	95	C2
CROONQUIST_STROMAL_STIMULATION_UP	56	C2
CROONQUIST_STROMAL_STIMULATION_DN	13	C2
CROONQUIST_NRAS_SIGNALING_UP	40	C2
CROONQUIST_NRAS_SIGNALING_DN	70	C2
CROONQUIST_NRAS_VS_STROMAL_STIMULATION_UP	41	C2
CROONQUIST_NRAS_VS_STROMAL_STIMULATION_DN	97	C2
IRITANI_MAD1_TARGETS_UP	13	C2
IRITANI_MAD1_TARGETS_DN	46	C2
ZHAN_LATE_DIFFERENTIATION_GENES_UP	33	C2
ZHAN_LATE_DIFFERENTIATION_GENES_DN	17	C2
ZHAN_VARIABLE_EARLY_DIFFERENTIATION_GENES_UP	17	C2
ZHAN_VARIABLE_EARLY_DIFFERENTIATION_GENES_DN	31	C2
ZHAN_V1_LATE_DIFFERENTIATION_GENES_UP	33	C2
ZHAN_V1_LATE_DIFFERENTIATION_GENES_DN	16	C2
ISHIDA_E2F_TARGETS	52	C2
VALK_AML_CLUSTER_1	29	C2
VALK_AML_CLUSTER_2	29	C2
VALK_AML_CLUSTER_3	34	C2
VALK_AML_CLUSTER_4	30	C2
VALK_AML_CLUSTER_5	32	C2
VALK_AML_CLUSTER_6	34	C2
VALK_AML_CLUSTER_7	27	C2
VALK_AML_CLUSTER_8	26	C2
VALK_AML_CLUSTER_9	35	C2
VALK_AML_CLUSTER_10	33	C2
VALK_AML_CLUSTER_11	38	C2
VALK_AML_CLUSTER_12	30	C2
VALK_AML_CLUSTER_13	31	C2
VALK_AML_CLUSTER_15	31	C2
VALK_AML_CLUSTER_16	29	C2
VALK_AML_WITH_T_8_21_TRANSLOCATION	5	C2
VALK_AML_WITH_11Q23_REARRANGED	24	C2
VALK_AML_WITH_EVI1	25	C2
VALK_AML_WITH_CEBPA	37	C2
VALK_AML_WITH_FLT3_ITD	41	C2
JISON_SICKLE_CELL_DISEASE_UP	182	C2
JISON_SICKLE_CELL_DISEASE_DN	186	C2
POOLA_INVASIVE_BREAST_CANCER_UP	292	C2
POOLA_INVASIVE_BREAST_CANCER_DN	132	C2
DING_LUNG_CANCER_MUTATED_RECURRENTLY	6	C2
DING_LUNG_CANCER_BY_MUTATION_RATE	20	C2
TCGA_GLIOBLASTOMA_MUTATED	8	C2
CHEN_LIVER_METABOLISM_QTL_CIS	95	C2
BOYAULT_LIVER_CANCER_SUBCLASS_G1_UP	116	C2
BOYAULT_LIVER_CANCER_SUBCLASS_G1_DN	40	C2
BOYAULT_LIVER_CANCER_SUBCLASS_G2	28	C2
BOYAULT_LIVER_CANCER_SUBCLASS_G3_UP	190	C2
BOYAULT_LIVER_CANCER_SUBCLASS_G3_DN	53	C2
BOYAULT_LIVER_CANCER_SUBCLASS_G5_DN	28	C2
BOYAULT_LIVER_CANCER_SUBCLASS_G6_UP	66	C2
BOYAULT_LIVER_CANCER_SUBCLASS_G6_DN	19	C2
BOYAULT_LIVER_CANCER_SUBCLASS_G12_UP	40	C2
BOYAULT_LIVER_CANCER_SUBCLASS_G12_DN	15	C2
BOYAULT_LIVER_CANCER_SUBCLASS_G23_UP	53	C2
BOYAULT_LIVER_CANCER_SUBCLASS_G23_DN	10	C2
BOYAULT_LIVER_CANCER_SUBCLASS_G56_UP	11	C2
BOYAULT_LIVER_CANCER_SUBCLASS_G56_DN	17	C2
BOYAULT_LIVER_CANCER_SUBCLASS_G123_UP	47	C2
BOYAULT_LIVER_CANCER_SUBCLASS_G123_DN	51	C2
CHIANG_LIVER_CANCER_SUBCLASS_CTNNB1_UP	175	C2
CHIANG_LIVER_CANCER_SUBCLASS_CTNNB1_DN	170	C2
CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_UP	178	C2
CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_DN	179	C2
CHIANG_LIVER_CANCER_SUBCLASS_INTERFERON_UP	26	C2
CHIANG_LIVER_CANCER_SUBCLASS_INTERFERON_DN	52	C2
CHIANG_LIVER_CANCER_SUBCLASS_POLYSOMY7_UP	79	C2
CHIANG_LIVER_CANCER_SUBCLASS_POLYSOMY7_DN	25	C2
CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_UP	86	C2
CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_DN	194	C2
COULOUARN_TEMPORAL_TGFB1_SIGNATURE_UP	109	C2
COULOUARN_TEMPORAL_TGFB1_SIGNATURE_DN	138	C2
HOSHIDA_LIVER_CANCER_LATE_RECURRENCE_UP	62	C2
HOSHIDA_LIVER_CANCER_LATE_RECURRENCE_DN	70	C2
HOSHIDA_LIVER_CANCER_SURVIVAL_UP	73	C2
HOSHIDA_LIVER_CANCER_SURVIVAL_DN	113	C2
KAPOSI_LIVER_CANCER_MET_UP	18	C2
KAPOSI_LIVER_CANCER_MET_DN	6	C2
YAMASHITA_LIVER_CANCER_WITH_EPCAM_UP	53	C2
YAMASHITA_LIVER_CANCER_WITH_EPCAM_DN	17	C2
YAMASHITA_LIVER_CANCER_STEM_CELL_UP	47	C2
YAMASHITA_LIVER_CANCER_STEM_CELL_DN	76	C2
LEE_LIVER_CANCER_HEPATOBLAST	16	C2
WANG_RECURRENT_LIVER_CANCER_UP	20	C2
WANG_RECURRENT_LIVER_CANCER_DN	16	C2
WOO_LIVER_CANCER_RECURRENCE_UP	105	C2
WOO_LIVER_CANCER_RECURRENCE_DN	78	C2
YAMANAKA_GLIOBLASTOMA_SURVIVAL_UP	11	C2
YAMANAKA_GLIOBLASTOMA_SURVIVAL_DN	8	C2
MONTERO_THYROID_CANCER_POOR_SURVIVAL_UP	12	C2
MONTERO_THYROID_CANCER_POOR_SURVIVAL_DN	11	C2
YAGI_AML_WITH_T_8_21_TRANSLOCATION	371	C2
YAGI_AML_WITH_INV_16_TRANSLOCATION	411	C2
YAGI_AML_WITH_T_9_11_TRANSLOCATION	132	C2
YAGI_AML_WITH_11Q23_REARRANGED	345	C2
MEISSNER_NPC_HCP_WITH_H3K4ME2_AND_H3K27ME3	350	C2
MEISSNER_BRAIN_HCP_WITH_H3K4ME2_AND_H3K27ME3	60	C2
MEISSNER_NPC_HCP_WITH_H3K4ME2	491	C2
MEISSNER_BRAIN_HCP_WITH_H3K4ME2	18	C2
MIKKELSEN_MCV6_HCP_WITH_H3K27ME3	436	C2
MIKKELSEN_MCV6_ICP_WITH_H3K4ME3_AND_H3K27ME3	34	C2
MIKKELSEN_MCV6_ICP_WITH_H3K27ME3	76	C2
MIKKELSEN_MCV6_LCP_WITH_H3K27ME3	26	C2
MIKKELSEN_MCV6_LCP_WITH_H3K4ME3	163	C2
MIKKELSEN_MEF_ICP_WITH_H3K4ME3_AND_H3K27ME3	39	C2
MIKKELSEN_MEF_ICP_WITH_H3K27ME3	206	C2
MIKKELSEN_MEF_LCP_WITH_H3K27ME3	71	C2
MIKKELSEN_MEF_LCP_WITH_H3K4ME3	130	C2
MIKKELSEN_IPS_WITH_HCP_H3K27ME3	102	C2
MIKKELSEN_IPS_HCP_WITH_H3_UNMETHYLATED	84	C2
MIKKELSEN_IPS_ICP_WITH_H3K4ME3_AND_H327ME3	123	C2
MIKKELSEN_IPS_ICP_WITH_H3K27ME3	55	C2
MIKKELSEN_IPS_LCP_WITH_H3K4ME3_AND_H3K27ME3	5	C2
MIKKELSEN_IPS_LCP_WITH_H3K27ME3	10	C2
MIKKELSEN_IPS_LCP_WITH_H3K4ME3	175	C2
GLINSKY_CANCER_DEATH_UP	7	C2
KUROKAWA_LIVER_CANCER_EARLY_RECURRENCE_UP	12	C2
KUROKAWA_LIVER_CANCER_EARLY_RECURRENCE_DN	6	C2
MARSON_FOXP3_TARGETS_UP	67	C2
MARSON_FOXP3_TARGETS_DN	54	C2
ONO_AML1_TARGETS_UP	24	C2
ONO_AML1_TARGETS_DN	41	C2
ONO_FOXP3_TARGETS_UP	23	C2
ONO_FOXP3_TARGETS_DN	42	C2
SETLUR_PROSTATE_CANCER_TMPRSS2_ERG_FUSION_UP	67	C2
SETLUR_PROSTATE_CANCER_TMPRSS2_ERG_FUSION_DN	20	C2
SCHOEN_NFKB_SIGNALING	34	C2
NGO_MALIGNANT_GLIOMA_1P_LOH	15	C2
YANAGISAWA_LUNG_CANCER_RECURRENCE	9	C2
KESHELAVA_MULTIPLE_DRUG_RESISTANCE	82	C2
WINNEPENNINCKX_MELANOMA_METASTASIS_DN	45	C2
TSAI_DNAJB4_TARGETS_UP	13	C2
TSAI_DNAJB4_TARGETS_DN	6	C2
ASGHARZADEH_NEUROBLASTOMA_POOR_SURVIVAL_DN	43	C2
LI_PROSTATE_CANCER_EPIGENETIC	32	C2
UROSEVIC_RESPONSE_TO_IMIQUIMOD	19	C2
KUROZUMI_RESPONSE_TO_ONCOCYTIC_VIRUS	45	C2
KUROZUMI_RESPONSE_TO_ONCOCYTIC_VIRUS_AND_CYCLIC_RGD	20	C2
FONTAINE_FOLLICULAR_THYROID_ADENOMA_UP	78	C2
FONTAINE_FOLLICULAR_THYROID_ADENOMA_DN	70	C2
FONTAINE_THYROID_TUMOR_UNCERTAIN_MALIGNANCY_UP	38	C2
FONTAINE_THYROID_TUMOR_UNCERTAIN_MALIGNANCY_DN	26	C2
FONTAINE_PAPILLARY_THYROID_CARCINOMA_UP	66	C2
FONTAINE_PAPILLARY_THYROID_CARCINOMA_DN	80	C2
LIANG_HEMATOPOIESIS_STEM_CELL_NUMBER_QTL	16	C2
WEBER_METHYLATED_LCP_IN_FIBROBLAST_UP	13	C2
WEBER_METHYLATED_LCP_IN_FIBROBLAST_DN	10	C2
WEBER_METHYLATED_ICP_IN_FIBROBLAST	21	C2
WEBER_METHYLATED_ICP_IN_SPERM_UP	8	C2
WEBER_METHYLATED_ICP_IN_SPERM_DN	13	C2
WEBER_METHYLATED_LCP_IN_SPERM_UP	15	C2
WEBER_METHYLATED_LCP_IN_SPERM_DN	8	C2
PUJANA_BREAST_CANCER_WITH_BRCA1_MUTATED_UP	55	C2
PUJANA_BREAST_CANCER_WITH_BRCA1_MUTATED_DN	9	C2
GYORFFY_DOXORUBICIN_RESISTANCE	39	C2
GYORFFY_MITOXANTRONE_RESISTANCE	35	C2
SYED_ESTRADIOL_RESPONSE	18	C2
WORSCHECH_TUMOR_EVASION_AND_TOLEROGENICITY_UP	32	C2
WORSCHECH_TUMOR_EVASION_AND_TOLEROGENICITY_DN	14	C2
STEIN_ESR1_TARGETS	83	C2
STEIN_ESRRA_TARGETS	530	C2
STEIN_ESTROGEN_RESPONSE_NOT_VIA_ESRRA	18	C2
SAKAI_CHRONIC_HEPATITIS_VS_LIVER_CANCER_UP	82	C2
LOPEZ_EPITHELIOID_MESOTHELIOMA	17	C2
LOPEZ_MESOTHELIOMA_SURVIVAL_OVERALL_UP	8	C2
LOPEZ_MESOTHELIOMA_SURVIVAL_OVERALL_DN	15	C2
LOPEZ_MESOTHELIOMA_SURVIVAL_UP	12	C2
LOPEZ_MESOTHELIOMA_SURVIVAL_DN	12	C2
KORKOLA_CORRELATED_WITH_POU5F1	32	C2
KORKOLA_EMBRYONIC_CARCINOMA_VS_SEMINOMA_UP	24	C2
KORKOLA_EMBRYONIC_CARCINOMA_VS_SEMINOMA_DN	25	C2
KOBAYASHI_EGFR_SIGNALING_24HR_UP	102	C2
KOBAYASHI_EGFR_SIGNALING_24HR_DN	252	C2
FOURNIER_ACINAR_DEVELOPMENT_LATE_2	281	C2
BOYLAN_MULTIPLE_MYELOMA_PCA1_UP	123	C2
BOYLAN_MULTIPLE_MYELOMA_PCA1_DN	9	C2
BOYLAN_MULTIPLE_MYELOMA_PCA3_UP	83	C2
BOYLAN_MULTIPLE_MYELOMA_PCA3_DN	70	C2
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	235	C2
HOSHIDA_LIVER_CANCER_SUBCLASS_S2	115	C2
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	266	C2
PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP	190	C2
PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_DN	29	C2
CAIRO_HEPATOBLASTOMA_UP	213	C2
CAIRO_HEPATOBLASTOMA_DN	267	C2
CAIRO_HEPATOBLASTOMA_CLASSES_UP	612	C2
CAIRO_HEPATOBLASTOMA_CLASSES_DN	215	C2
CAIRO_LIVER_DEVELOPMENT_UP	166	C2
CAIRO_LIVER_DEVELOPMENT_DN	223	C2
CAIRO_HEPATOBLASTOMA_POOR_SURVIVAL	16	C2
GUTIERREZ_CHRONIC_LYMPHOCYTIC_LEUKEMIA_UP	12	C2
GUTIERREZ_CHRONIC_LYMPHOCYTIC_LEUKEMIA_DN	56	C2
GUTIERREZ_WALDENSTROEMS_MACROGLOBULINEMIA_1_UP	10	C2
GUTIERREZ_WALDENSTROEMS_MACROGLOBULINEMIA_1_DN	9	C2
GUTIERREZ_MULTIPLE_MYELOMA_UP	36	C2
GUTIERREZ_WALDENSTROEMS_MACROGLOBULINEMIA_2	13	C2
WINNEPENNINCKX_MELANOMA_METASTASIS_UP	162	C2
HAHTOLA_CTCL_CUTANEOUS	26	C2
HAHTOLA_CTCL_PATHOGENESIS	15	C2
UZONYI_RESPONSE_TO_LEUKOTRIENE_AND_THROMBIN	36	C2
VANTVEER_BREAST_CANCER_POOR_PROGNOSIS	49	C2
KYNG_WERNER_SYNDROM_AND_NORMAL_AGING_UP	77	C2
KYNG_WERNER_SYNDROM_AND_NORMAL_AGING_DN	186	C2
KYNG_NORMAL_AGING_UP	15	C2
KYNG_NORMAL_AGING_DN	18	C2
KYNG_WERNER_SYNDROM_UP	14	C2
KYNG_WERNER_SYNDROM_DN	19	C2
CHIARETTI_T_ALL_REFRACTORY_TO_THERAPY	30	C2
CHIARETTI_T_ALL_RELAPSE_PROGNOSIS	19	C2
BYSTRYKH_HEMATOPOIESIS_STEM_CELL_IL3RA	9	C2
BYSTRYKH_HEMATOPOIESIS_STEM_CELL_SCP2_QTL_TRANS	26	C2
ZHAN_MULTIPLE_MYELOMA_CD1_DN	47	C2
ZHAN_MULTIPLE_MYELOMA_CD2_DN	47	C2
ZHAN_MULTIPLE_MYELOMA_LB_DN	39	C2
ZHAN_MULTIPLE_MYELOMA_HP_DN	46	C2
ZHAN_MULTIPLE_MYELOMA_MF_DN	42	C2
ZHAN_MULTIPLE_MYELOMA_MS_DN	45	C2
ZHAN_MULTIPLE_MYELOMA_PR_DN	49	C2
DANG_REGULATED_BY_MYC_UP	68	C2
DANG_REGULATED_BY_MYC_DN	251	C2
DANG_MYC_TARGETS_UP	130	C2
DANG_MYC_TARGETS_DN	31	C2
DANG_BOUND_BY_MYC	1061	C2
DORN_ADENOVIRUS_INFECTION_12HR_UP	28	C2
DORN_ADENOVIRUS_INFECTION_12HR_DN	33	C2
DORN_ADENOVIRUS_INFECTION_24HR_UP	12	C2
DORN_ADENOVIRUS_INFECTION_24HR_DN	42	C2
DORN_ADENOVIRUS_INFECTION_32HR_UP	11	C2
DORN_ADENOVIRUS_INFECTION_32HR_DN	38	C2
DORN_ADENOVIRUS_INFECTION_48HR_UP	14	C2
DORN_ADENOVIRUS_INFECTION_48HR_DN	39	C2
TIAN_TNF_SIGNALING_VIA_NFKB	26	C2
TIAN_TNF_SIGNALING_NOT_VIA_NFKB	22	C2
WONG_EMBRYONIC_STEM_CELL_CORE	335	C2
WONG_ADULT_TISSUE_STEM_MODULE	719	C2
NAKAYAMA_SOFT_TISSUE_TUMORS_PCA1_UP	83	C2
NAKAYAMA_SOFT_TISSUE_TUMORS_PCA1_DN	77	C2
NAKAYAMA_SOFT_TISSUE_TUMORS_PCA2_UP	89	C2
NAKAYAMA_SOFT_TISSUE_TUMORS_PCA2_DN	85	C2
CHANDRAN_METASTASIS_UP	207	C2
CHANDRAN_METASTASIS_DN	313	C2
MIKKELSEN_ES_HCP_WITH_H3K27ME3	41	C2
MIKKELSEN_ES_HCP_WITH_H3_UNMETHYLATED	66	C2
MIKKELSEN_ES_ICP_WITH_H3K27ME3	43	C2
MIKKELSEN_ES_ICP_WITH_H3K4ME3	732	C2
MIKKELSEN_ES_ICP_WITH_H3K4ME3_AND_H3K27ME3	135	C2
MIKKELSEN_ES_LCP_WITH_H3K27ME3	14	C2
MIKKELSEN_ES_LCP_WITH_H3K4ME3	145	C2
MIKKELSEN_ES_LCP_WITH_H3K4ME3_AND_H3K27ME3	7	C2
MIKKELSEN_NPC_HCP_WITH_H3K27ME3	345	C2
MIKKELSEN_NPC_HCP_WITH_H3K4ME3_AND_H3K27ME3	210	C2
